Merchant Number - Business Name,Transaction Date,Terminal ID,System Batch Number,Device Batch Number,Request Amount,Settle Amount,Card Number,Card Product,Ext Card Type,Auth Code,System Trace Audit Number,Retrieval Reference,Message Type,Transaction Type,Extended Transaction Type,Transaction Paid,Pos Entry Mode,Device Serial,store,Batch Screening Status,Transaction Screening Status,Date Payment Extract,UTI,Online Reference Number,Issuing Bank,BIN,Processing,Product Type,Decline Reason
M001 - Merchant Alpha Cafe,2025-08-08T03:16:35,TID2626,24814,5797,521.46,521.46,409918******0909,Visa,Debit,402024.0,100010,436291955985,Financial,Purchase,Contactless,Yes,Swipe,DS-0001,Store H,Pass,Pass,2025-08-09,UTI-D639D368E36E,ONR-1060EDE841,African Bank,409918,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-09T04:30:35,TID3168,12871,2104,610.83,610.83,581713******5993,Mastercard,Debit,379290.0,100011,112542658937,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-08-10,UTI-77E64CE39E7E,ONR-B4A3167841,African Bank,581713,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-26T20:34:35,TID3668,55569,9346,328.96,328.96,564188******0250,Mastercard,Debit,557534.0,100012,960060931341,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store H,Fail,Pass,2025-05-27,UTI-D5904FD0684A,ONR-C00B9C3981,Nedbank,564188,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-29T05:32:35,TID6705,85670,1952,302.32,-302.32,474091******5959,Visa,Debit,520642.0,100013,846485753393,Financial,Refund,Contactless,Yes,Swipe,DS-0001,Store E,Pass,Pass,2025-05-30,UTI-1ABF8851AF40,ONR-4695042E5A,TymeBank,474091,Offline,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-09T10:24:35,TID9398,88095,7779,982.31,982.31,461394******1137,Visa,Debit,856769.0,100014,194750271868,Financial,Purchase,Contactless,Yes,Contactless,DS-0001,Store G,Pass,Pass,2025-07-11,UTI-BE1259E492BA,ONR-2A207AD8F2,TymeBank,461394,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-13T13:51:35,TID3792,93101,2294,508.04,508.04,351125******1535,Amex,Credit,149855.0,100015,454267411148,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store H,Pass,Pass,2025-06-14,UTI-D347F0FFF86C,ONR-2F11B50FB3,TymeBank,351125,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-31T11:51:35,TID5828,13912,5437,515.29,515.29,412265******9487,Visa,Credit,196067.0,100016,932357682115,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store E,Pass,Pass,2025-07-31,UTI-56C4FC26A9AA,ONR-20EAA026AB,African Bank,412265,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-13T18:07:35,TID8217,62142,8014,390.79,390.79,567718******5360,Mastercard,Credit,516518.0,100017,530089546620,Financial,Purchase,Contactless,Yes,Swipe,DS-0001,Store I,Pass,Pass,2025-06-13,UTI-C11CF58FBBA3,ONR-9C2A7FB8D7,Nedbank,567718,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-17T20:49:35,TID7631,39474,4904,559.77,559.77,532279******6707,Mastercard,Credit,282120.0,100018,579450048458,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store J,Pass,Pass,2025-06-19,UTI-234F722A27DE,ONR-72A1C9D8BC,Capitec,532279,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-08T15:53:35,TID7252,55296,8745,157.0,157.0,496606******7256,Visa,Credit,223666.0,100019,815603355083,Financial,Purchase,Swipe,Yes,Keyed,DS-0001,Store H,Pass,Pass,2025-07-09,UTI-38A630DD0215,ONR-54811E80FB,ABSA,496606,3DS,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-24T10:43:35,TID5684,65454,2509,854.05,0.0,510544******6792,Mastercard,Debit,,100020,205393209309,Financial,Purchase,Contactless,No,Contactless,DS-0001,Store F,Pass,Pass,,UTI-5EE32DFA0D47,ONR-E302965528,African Bank,510544,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-24T13:57:35,TID2874,70410,7574,545.85,545.85,538762******7951,Mastercard,Credit,763741.0,100021,756717137808,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store D,Fail,Pass,2025-07-25,UTI-957D67B9982C,ONR-FCB7988A3D,Nedbank,538762,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-28T11:39:35,TID4386,68671,9878,335.58,-335.58,589412******8504,Mastercard,Debit,629431.0,100022,842859560075,Financial,Refund,Chip,Yes,Chip+PIN,DS-0001,Store E,Pass,Pass,2025-05-28,UTI-941C1498D866,ONR-A06D6A0230,ABSA,589412,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-12T01:34:35,TID5639,92658,7643,484.56,0.0,473908******6844,Visa,Debit,,100023,316745252236,Financial,Purchase,Contactless,No,Chip+PIN,DS-0001,Store C,Pass,Pass,,UTI-FBAA77B901B9,ONR-D59B23A633,ABSA,473908,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-05T20:23:35,TID3599,69063,9184,280.43,0.0,401086******9799,Visa,Credit,,100024,728308705580,Financial,Purchase,Swipe,No,Swipe,DS-0001,Store I,Pass,Pass,,UTI-A6D876C8A569,ONR-CD75F45036,ABSA,401086,Offline,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-27T03:15:35,TID7275,55407,5858,650.9,650.9,570841******8132,Mastercard,Credit,558381.0,100025,654678072934,Financial,Purchase,Chip,Yes,Chip+PIN,DS-0001,Store H,Pass,Pass,2025-05-27,UTI-D7C027E7609B,ONR-D84738ACD3,Capitec,570841,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-18T07:06:35,TID1825,79322,2651,364.3,364.3,654572******6363,Discover,Debit,951421.0,100026,946534968725,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-06-18,UTI-F500E34C42DE,ONR-9C6AD636C9,African Bank,654572,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-27T13:37:35,TID2163,20729,9759,241.66,241.66,410364******7855,Visa,Debit,641415.0,100027,132453850849,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store G,Pass,Pass,2025-06-27,UTI-BF2DCC63BEE1,ONR-7FD9A8C05A,Standard Bank,410364,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-16T11:17:35,TID6091,63073,7317,1099.42,1099.42,556632******7873,Mastercard,Credit,663410.0,100028,928951477564,Financial,Purchase,Swipe,Yes,Chip+PIN,DS-0001,Store F,Pass,Pass,2025-06-17,UTI-D88FF2E59F6D,ONR-72A7129A17,Capitec,556632,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-13T04:37:35,TID5673,85363,4454,372.83,372.83,440088******8218,Visa,Credit,912508.0,100029,844456082067,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store A,Pass,Pass,2025-06-13,UTI-FB82472C142C,ONR-8304167B4C,Standard Bank,440088,3DS,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-15T01:16:35,TID2076,55747,4283,474.87,-474.87,309474******3109,Diners,Debit,449057.0,100030,572579472670,Financial,Refund,Contactless,Yes,Contactless,DS-0001,Store H,Pass,Pass,2025-07-17,UTI-4DA1FE6E017C,ONR-473AB681A2,African Bank,309474,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-12T21:56:35,TID9621,60036,2804,514.56,514.56,686154******8428,Discover,Credit,375709.0,100031,916393259939,Financial,Purchase,Contactless,Yes,Contactless,DS-0001,Store D,Pass,Pass,2025-08-12,UTI-CD65F294EBBA,ONR-4306A9191D,Nedbank,686154,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-13T11:56:35,TID6277,75091,5439,500.85,500.85,422888******6375,Visa,Debit,786611.0,100032,860030985957,Financial,Purchase,Chip,Yes,Contactless,DS-0001,Store H,Pass,Pass,2025-08-15,UTI-E48E87133436,ONR-597812C8C7,FNB,422888,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-30T07:45:35,TID4877,91858,3744,533.57,533.57,553354******8478,Mastercard,Credit,107692.0,100033,272442708696,Financial,Purchase,Chip,Yes,Chip+PIN,DS-0001,Store F,Fail,Pass,2025-07-01,UTI-3EE7A337C8EC,ONR-FA1CFEAE40,FNB,553354,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-28T17:00:35,TID6385,60986,1065,540.86,0.0,417567******9817,Visa,Debit,,100034,803804653663,Financial,Purchase,Swipe,No,Contactless,DS-0001,Store J,Pass,Pass,,UTI-4A031A623F70,ONR-66D3821443,Nedbank,417567,3DS,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-13T08:42:35,TID5977,96536,6886,129.73,129.73,319128******7336,Diners,Debit,211482.0,100035,518476110573,Financial,Purchase,Swipe,Yes,Chip+PIN,DS-0001,Store A,Pass,Pass,2025-07-15,UTI-BC7E395CE5DF,ONR-68FA21E49B,Standard Bank,319128,3DS,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-23T12:37:35,TID2997,59990,5863,508.82,508.82,384820******0550,Amex,Credit,107312.0,100036,765488321628,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store D,Pass,Pass,2025-05-25,UTI-FB41778DFD37,ONR-BC69A5CF63,Standard Bank,384820,Offline,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-05T22:06:35,TID8722,49937,1040,5.0,5.0,526507******4013,Mastercard,Debit,313892.0,100037,631288225794,Financial,Purchase,Chip,Yes,Contactless,DS-0001,Store C,Pass,Pass,2025-06-07,UTI-201CDFFDD9B6,ONR-D3C0DC4C78,African Bank,526507,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-01T18:37:35,TID7113,17632,7074,603.81,603.81,534859******6381,Mastercard,Credit,761228.0,100038,453132183629,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-06-02,UTI-87A3F56FC0D4,ONR-943C2DD32E,FNB,534859,3DS,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-23T07:26:35,TID1604,41577,2817,224.39,0.0,434968******3432,Visa,Credit,,100039,311587405192,Financial,Purchase,Swipe,No,Ecommerce,DS-0001,Store J,Fail,Pass,,UTI-C3431EDE4095,ONR-40E7112050,TymeBank,434968,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-04T07:10:35,TID6316,65789,6880,546.93,546.93,482231******1554,Visa,Debit,605339.0,100040,995231574040,Financial,Purchase,Chip,Yes,Chip+PIN,DS-0001,Store A,Pass,Pass,2025-06-06,UTI-105AF833B7DC,ONR-E57102636A,Capitec,482231,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-25T18:36:35,TID5232,26665,2540,5.0,5.0,454639******7794,Visa,Credit,146123.0,100041,158977390526,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store F,Pass,Pass,2025-07-25,UTI-82796F57C1A1,ONR-EB3E2E263C,ABSA,454639,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-31T13:42:35,TID2004,67200,4460,625.42,625.42,486429******3020,Visa,Credit,101494.0,100042,540551805855,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store B,Pass,Pass,2025-07-31,UTI-06182CF9ECB4,ONR-FEDB976B53,Nedbank,486429,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-30T14:25:35,TID5767,33431,3060,164.96,164.96,439486******3333,Visa,Credit,272221.0,100043,142636618004,Financial,Purchase,Swipe,Yes,Keyed,DS-0001,Store C,Fail,Pass,2025-07-30,UTI-5F68EF4CDCFE,ONR-2B8FD1BC37,Capitec,439486,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-28T09:10:35,TID1281,23819,1995,899.4,899.4,542052******5901,Mastercard,Debit,868031.0,100044,328837135378,Financial,Purchase,Swipe,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-07-30,UTI-97CA6B743A32,ONR-D500347CA3,African Bank,542052,3DS,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-12T12:15:35,TID1714,42537,7606,609.23,-609.23,485716******2964,Visa,Credit,762305.0,100045,117130733035,Financial,Refund,Chip,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-08-13,UTI-2E23E01433E0,ONR-4612AE5241,TymeBank,485716,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-29T05:28:35,TID3854,21175,9009,437.2,-437.2,521716******6930,Mastercard,Credit,992596.0,100046,626174950720,Financial,Refund,Swipe,Yes,Contactless,DS-0001,Store B,Pass,Pass,2025-07-30,UTI-5A239C16736D,ONR-E131F115DB,FNB,521716,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-03T03:36:35,TID2488,65960,2640,698.93,698.93,424512******3434,Visa,Debit,855126.0,100047,649693119911,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store G,Pass,Pass,2025-07-03,UTI-9895AB50AAB7,ONR-41B9538403,TymeBank,424512,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-23T13:43:35,TID6101,34090,7825,292.98,292.98,614959******0124,Discover,Debit,467164.0,100048,234436740731,Financial,Purchase,Ecommerce,Yes,Contactless,DS-0001,Store E,Pass,Pass,2025-07-23,UTI-E40848090C96,ONR-0933DD5C15,African Bank,614959,3DS,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-01T04:49:35,TID9850,92131,3193,5.0,5.0,528768******6458,Mastercard,Credit,499944.0,100049,913575961789,Financial,Purchase,Contactless,Yes,Contactless,DS-0001,Store D,Pass,Pass,2025-08-01,UTI-A3905DD67269,ONR-06C95E1438,Capitec,528768,3DS,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-23T16:25:35,TID7691,51022,1208,662.82,662.82,693879******8874,Discover,Credit,647866.0,100050,520876230963,Financial,Purchase,Swipe,Yes,Chip+PIN,DS-0001,Store D,Pass,Pass,2025-06-24,UTI-033410AF008A,ONR-ED54551CAB,TymeBank,693879,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-27T16:36:35,TID3990,24658,3769,276.62,276.62,460972******1981,Visa,Debit,530979.0,100051,521574977121,Financial,Purchase,Contactless,Yes,Swipe,DS-0001,Store A,Pass,Pass,2025-05-28,UTI-40A325585DAB,ONR-CD9A31CEF9,African Bank,460972,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-06T22:04:35,TID6872,70613,5459,172.22,172.22,422123******7647,Visa,Debit,986110.0,100052,374019873828,Financial,Purchase,Contactless,Yes,Keyed,DS-0001,Store B,Pass,Pass,2025-06-07,UTI-C5BA26F5C091,ONR-26F08104C1,TymeBank,422123,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-10T09:36:35,TID4622,58812,5688,66.09,66.09,414118******3749,Visa,Debit,127145.0,100053,286132174762,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store F,Pass,Pass,2025-07-12,UTI-95452C272085,ONR-30DD5E5EAC,ABSA,414118,3DS,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-19T12:47:35,TID3380,26004,8617,209.27,209.27,464041******2452,Visa,Debit,887116.0,100054,245128656566,Financial,Purchase,Contactless,Yes,Swipe,DS-0001,Store F,Pass,Pass,2025-06-19,UTI-90847F954628,ONR-71BFC80273,FNB,464041,3DS,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-01T11:33:35,TID3539,54154,5063,861.85,861.85,558431******3596,Mastercard,Prepaid,963825.0,100055,327866145513,Financial,Purchase,Contactless,Yes,Contactless,DS-0001,Store B,Pass,Pass,2025-07-01,UTI-131D6AB5D238,ONR-9920FF5487,FNB,558431,Online,Prepaid,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-06T06:44:35,TID6472,16457,5184,562.94,562.94,455618******9885,Visa,Debit,521882.0,100056,408163309129,Financial,Purchase,Contactless,Yes,Contactless,DS-0001,Store D,Pass,Pass,2025-08-07,UTI-1E06CE3EA60C,ONR-B6D892D069,Standard Bank,455618,Offline,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-26T07:40:35,TID8445,29075,2895,681.09,681.09,492670******5525,Visa,Credit,808871.0,100057,453634652412,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store J,Pass,Pass,2025-07-27,UTI-E79A61C81803,ONR-DAEEDC4ED1,Nedbank,492670,3DS,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-12T03:40:35,TID6938,69240,6396,98.93,98.93,569535******1772,Mastercard,Debit,136228.0,100058,578272430436,Financial,Purchase,Swipe,Yes,Swipe,DS-0001,Store F,Pass,Fail,2025-06-12,UTI-F6E611BA429B,ONR-0534046803,TymeBank,569535,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-17T20:42:35,TID7611,76465,4547,267.68,267.68,541755******7250,Mastercard,Credit,332684.0,100059,182551311153,Financial,Purchase,Chip,Yes,Contactless,DS-0001,Store J,Pass,Pass,2025-06-17,UTI-BFF467FE058B,ONR-BBCBF9D2C8,ABSA,541755,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-08-03T18:05:35,TID3938,82449,2780,604.93,0.0,598729******6677,Mastercard,Credit,,100060,282270167131,Financial,Purchase,Ecommerce,No,Chip+PIN,DS-0002,Store H,Pass,Fail,,UTI-2C2835899D92,ONR-48FD024D16,Standard Bank,598729,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-07-21T23:45:35,TID3295,37693,6628,696.53,0.0,479534******6853,Visa,Credit,,100061,868585938531,Financial,Purchase,Chip,No,Chip+PIN,DS-0002,Store H,Pass,Pass,,UTI-62CC92C56C0D,ONR-56BFA0CF38,Standard Bank,479534,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-07-28T01:27:35,TID4006,82822,3197,1061.28,1061.28,399389******9781,Amex,Debit,786330.0,100062,360388122491,Financial,Purchase,Ecommerce,Yes,Contactless,DS-0002,Store C,Pass,Pass,2025-07-29,UTI-D9ACEC5375F9,ONR-C4FF9B43C4,FNB,399389,Online,Debit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-06-04T14:08:35,TID6916,83444,3616,400.78,400.78,483003******4544,Visa,Debit,505539.0,100063,273331740907,Financial,Purchase,Swipe,Yes,Chip+PIN,DS-0002,Store H,Pass,Pass,2025-06-06,UTI-A1ACA2F87848,ONR-B07802EDF1,African Bank,483003,Online,Debit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-06-10T23:02:35,TID9826,66938,1626,613.31,613.31,457224******8847,Visa,Debit,849275.0,100064,717546624052,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0002,Store H,Review,Fail,2025-06-10,UTI-E09651436423,ONR-47815E3A59,ABSA,457224,Online,Debit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-07-01T08:58:35,TID1953,18567,7149,175.67,175.67,673324******1778,Discover,Credit,915490.0,100065,474999398235,Financial,Purchase,Contactless,Yes,Contactless,DS-0002,Store E,Pass,Pass,2025-07-03,UTI-6BEF5E2D3DEA,ONR-A2B5339EDC,Nedbank,673324,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-06-04T20:50:35,TID9036,34066,2295,262.55,262.55,590313******5337,Mastercard,Credit,100466.0,100066,840814585673,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0002,Store C,Pass,Pass,2025-06-05,UTI-372B2F776B4B,ONR-4E90C90441,Capitec,590313,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-07-28T23:21:35,TID5977,58504,5092,450.95,450.95,484357******5874,Visa,Debit,470430.0,100067,287541407291,Financial,Purchase,Chip,Yes,Contactless,DS-0002,Store C,Pass,Pass,2025-07-28,UTI-B17D9BC9F793,ONR-B456DAC6C4,Capitec,484357,Offline,Debit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-05-30T11:57:35,TID2577,13954,8407,818.24,818.24,469819******6534,Visa,Credit,887574.0,100068,690466491184,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0002,Store B,Pass,Pass,2025-05-31,UTI-634856D500E2,ONR-D691FC06B2,TymeBank,469819,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-07-04T11:22:35,TID4455,84568,4338,428.79,428.79,475096******3719,Visa,Credit,241979.0,100069,343627085345,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0002,Store E,Pass,Pass,2025-07-05,UTI-DB8207D6EEA7,ONR-6D4752B778,Standard Bank,475096,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-07-30T21:04:35,TID1594,42608,1009,385.84,385.84,458767******1719,Visa,Debit,528482.0,100070,275937858623,Financial,Purchase,Ecommerce,Yes,Contactless,DS-0002,Store I,Pass,Pass,2025-07-31,UTI-9729E4409B0A,ONR-592BD9E2A9,FNB,458767,Online,Debit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-06-03T12:30:35,TID1941,48045,5692,524.38,524.38,416813******3437,Visa,Credit,821010.0,100071,936699958826,Financial,Purchase,Chip,Yes,Chip+PIN,DS-0002,Store D,Pass,Pass,2025-06-05,UTI-520A6269E5B4,ONR-B0BCF02535,Standard Bank,416813,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-06-21T13:14:35,TID2097,27924,8670,305.84,305.84,518651******9965,Mastercard,Credit,391542.0,100072,980770729509,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0002,Store A,Pass,Fail,2025-06-23,UTI-50214E15DE87,ONR-3CE2D68BCE,African Bank,518651,Online,Credit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-06-19T03:47:35,TID8246,45776,8152,870.9,870.9,456321******9817,Visa,Debit,820606.0,100073,934092452339,Financial,Purchase,Chip,Yes,Contactless,DS-0002,Store B,Pass,Pass,2025-06-20,UTI-BCA929B7CDF9,ONR-162563AE0A,Nedbank,456321,3DS,Debit,00 - Approved or completed successfully
M002 - Merchant Bravo Retail,2025-08-11T03:06:35,TID6110,44531,5155,699.83,699.83,535339******3456,Mastercard,Credit,249456.0,100074,779985588225,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0002,Store D,Pass,Pass,2025-08-13,UTI-E6DFE35E1630,ONR-89478F3A41,Capitec,535339,Online,Credit,00 - Approved or completed successfully
